### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CR_DIFF_LOWER_THAN;§Y$FIRST$§!と§Y$SECOND$§!の個人戦闘能力の差が§Y$VAL$§!未満;;;;;;;;;;;;x
CR_DIFF_AT_LEAST;§Y$FIRST$§!と§Y$SECOND$§!の個人戦闘能力の差が§Y$VAL$§!以上;;;;;;;;;;;;x
HAS_CR_AT_LEAST;個人的な戦闘能力が右記以上：;;;;;;;;;;;;x
HAS_LOWER_CR_THAN;個人的な戦闘能力が右記未満：;;;;;;;;;;;;x
MASTER;主人;;;;;;;;;;;;x
MISTRESS;女主人;;;;;;;;;;;;x
wol_schemer_1;未熟な策士;;;;;;;;;;;;x
desc_wol_schemer_1;この人物は策略や欺瞞で他人を操作しようとすることに意欲的です。;;;;;;;;;;;;x
wol_schemer_2;策士;;;;;;;;;;;;x
desc_wol_schemer_2;この人物は経験豊富な策士、陰謀家にして影の黒幕です。;;;;;;;;;;;;x
wol_patriarch_1;家庭的な男;;;;;;;;;;;;x
desc_wol_patriarch_1;この男性は家族の調和と幸福に心を砕いています。;;;;;;;;;;;;x
wol_patriarch_2;家族の大黒柱;;;;;;;;;;;;x
desc_wol_patriarch_2;この男性は争いを解決し、断固とした、かつ人間味のある指導力で誰もに認められた家族の大黒柱です。;;;;;;;;;;;;x
wol_matriarch_1;家庭的な女;;;;;;;;;;;;x
desc_wol_matriarch_1;この女性は自分の家族の調和と幸福に心を砕いています。;;;;;;;;;;;;x
wol_matriarch_2;家族の大黒柱;;;;;;;;;;;;x
desc_wol_matriarch_2;この女性は争いを解決し、断固とした、かつ人間味のある指導力で誰もに認められた家族の長です。;;;;;;;;;;;;x
schemer;名策士;;;;;;;;;;;;x
break_up_with_lover;別れる;;;;;;;;;;;;x
break_up_with_lover_desc;§Y[Root.GetTitledFirstNameNoRegnal]§! との恋愛関係は終わりました;;;;;;;;;;;;x
opinion_whorespawn;売春婦;;;;;;;;;;;;x
opinion_seduced_once;誘惑;;;;;;;;;;;;x
opinion_seduced_lustful_worship;淫らな崇拝者;;;;;;;;;;;;x
opinion_seducing_concubine;口説く;;;;;;;;;;;;x
opinion_regicide_traitor;凶悪な反逆者;;;;;;;;;;;;x
seduced_loyal_bodyguard;侍衛の愛人;;;;;;;;;;;;x
desc_seduced_loyal_bodyguard;誘惑を通して、この人物は想像を絶する最も忠実な侍衛を確保しました。;;;;;;;;;;;;x
seduced_loyal_spy_maid;女中の愛人;;;;;;;;;;;;x
desc_seduced_loyal_spy_maid;この人物は宮廷を嗅ぎ回るスパイにするために、聡明で豊かな胸を持つ女中を誘惑しています。;;;;;;;;;;;;x
minor_disease_herpes;性器ヘルペス;;;;;;;;;;;;x
desc_minor_disease_herpes;この人物は周期的に厄介で醜い水疱に苦しんでいます。;;;;;;;;;;;;x
DAMNATION;天罰;;;;;;;;;;;;x
EVTDESC6031_ALL;[Root.Religion.GetPriestTitle]がゆっくりと私を聖なる泉から引き出したとき、水は沸騰して泡立つようになり、私の裸の身体に神秘的な模様が浮かび始めました。驚きに満ちて、頭の中からわけのわからない声がしたが、ついには静かになった！;;;;;;;;;;;;x
EVTDESC38309;自分の心の霧が晴れた！自分がこれまで狂気に侵されていたことに今ようやく気付けたのだ！;;;;;;;;;;;;x
EVTDESC38310;心の中にあった絶対的な信念がなくなり、これからは偏見なく物事を見ようと思った。私は狂信的ではなくなった。;;;;;;;;;;;;x
EVTDESC38311;素直で無愛想なことでもう困ることはない。私は正直の資質を失った。;;;;;;;;;;;;x
EVTDESC38312;自分の行動に、そして一族に誇りを抱くようになった。私は謙虚の資質を失った。;;;;;;;;;;;;x
EVTOPTC64130;人生は素晴らしい！;;;;;;;;;;;;x
EVTDESC_WOL_40;今朝は耐え難いかゆみで目が覚めた。自分の罪深い行動に[Root.Religion.GetRandomGodName]は性病という形で罰を与えたようだ。;;;;;;;;;;;;x
EVTDESC_WOL_40_NC;今朝私は痛みを伴うかゆみで目を覚めた..どうやら性器ヘルペスにかかってしまったようだ。;;;;;;;;;;;;x
